Parameter,Expensive Sensors,Inexpensive IMU,Absolute Difference,Percent Difference
Cadence (steps/min),115.0,75.16971896549418,39.830281034505816,34.635026986526796
Gait Speed (m/s),1.14,0.678056369808782,0.46194363019121787,40.521371069405085
Step Duration (s),0.521,0.7982330798952799,0.2772330798952799,53.21172358834547
Stride Length (m),1.2,0.8250507952611031,0.3749492047388968,31.245767061574735
Stride Time (s),1.05,1.5965438613592235,0.5465438613592235,52.05179631992605
Double Support (s),0.226,0.24580913092783507,0.019809130927835067,8.765102180457994
