Parameter,Expensive Sensors,Inexpensive IMU,Absolute Difference,Percent Difference
Cadence (steps/min),107.0,134.61364051713977,27.61364051713977,25.807140670224086
Gait Speed (m/s),1.13,1.6549201655533383,0.5249201655533384,46.453111995870664
Step Duration (s),0.562,0.4457658626521452,0.11623413734785487,20.682230844814033
Stride Length (m),1.27,1.306696857740486,0.03669685774048603,2.8895163575185854
Stride Time (s),1.12,0.8836258320420817,0.23637416795791844,21.104836424814145
Double Support (s),0.274,0.18225446430801245,0.09174553569198757,33.48377215036042
