Parameter,Expensive Sensors,Inexpensive IMU,Absolute Difference,Percent Difference
Cadence (steps/min),111.0,76.50989753744568,34.49010246255432,31.072164380679567
Gait Speed (m/s),0.875,0.8238900169009891,0.051109983099010936,5.84114092560125
Step Duration (s),0.541,0.7842244868552036,0.2432244868552036,44.958315500037635
Stride Length (m),0.944,0.7901518870917235,0.1538481129082765,16.297469587741155
Stride Time (s),1.08,1.258075790625,0.1780757906249999,16.488499131944433
Double Support (s),0.252,0.22758299999999998,0.024417000000000022,9.689285714285722
